clip_id,frame_index,timestamp_s,part,method,verdict,condition,note
commons-cat-plays,0,0.0000,head,body,,,
commons-cat-plays,0,0.0000,spine,body,,,
commons-cat-plays,0,0.0000,front_paws,body,,,
commons-cat-plays,0,0.0000,hind_paws,body,,,
commons-cat-plays,0,0.0000,tail_curve,tail,,,
commons-cat-plays,0,0.0000,tail_curve_anchored,tail_anchored,,,
commons-cat-plays,0,0.0000,tail_curve_grounded,tail_grounded,,,
commons-cat-plays,0,0.0000,tail_curve_grounded_v1,tail_grounded_v1,,,
commons-cat-plays,1,0.2500,head,body,,,
commons-cat-plays,1,0.2500,spine,body,,,
commons-cat-plays,1,0.2500,front_paws,body,,,
commons-cat-plays,1,0.2500,hind_paws,body,,,
commons-cat-plays,1,0.2500,tail_curve,tail,,,
commons-cat-plays,1,0.2500,tail_curve_anchored,tail_anchored,,,
commons-cat-plays,1,0.2500,tail_curve_grounded,tail_grounded,,,
commons-cat-plays,1,0.2500,tail_curve_grounded_v1,tail_grounded_v1,,,
commons-cat-plays,2,0.5000,head,body,,,
commons-cat-plays,2,0.5000,spine,body,,,
commons-cat-plays,2,0.5000,front_paws,body,,,
commons-cat-plays,2,0.5000,hind_paws,body,,,
commons-cat-plays,2,0.5000,tail_curve,tail,,,
commons-cat-plays,2,0.5000,tail_curve_anchored,tail_anchored,,,
commons-cat-plays,2,0.5000,tail_curve_grounded,tail_grounded,,,
commons-cat-plays,2,0.5000,tail_curve_grounded_v1,tail_grounded_v1,,,
commons-cat-plays,3,0.7500,head,body,,,
commons-cat-plays,3,0.7500,spine,body,,,
commons-cat-plays,3,0.7500,front_paws,body,,,
commons-cat-plays,3,0.7500,hind_paws,body,,,
commons-cat-plays,3,0.7500,tail_curve,tail,,,
commons-cat-plays,3,0.7500,tail_curve_anchored,tail_anchored,,,
commons-cat-plays,3,0.7500,tail_curve_grounded,tail_grounded,,,
commons-cat-plays,3,0.7500,tail_curve_grounded_v1,tail_grounded_v1,,,
commons-cat-plays,4,1.0000,head,body,,,
commons-cat-plays,4,1.0000,spine,body,,,
commons-cat-plays,4,1.0000,front_paws,body,,,
commons-cat-plays,4,1.0000,hind_paws,body,,,
commons-cat-plays,4,1.0000,tail_curve,tail,,,
commons-cat-plays,4,1.0000,tail_curve_anchored,tail_anchored,,,
