clip_id,frame_index,timestamp_s,part,method,verdict,condition,note
commons-black-cat-walking,0,0.0000,head,body,,,
commons-black-cat-walking,0,0.0000,spine,body,,,
commons-black-cat-walking,0,0.0000,front_paws,body,,,
commons-black-cat-walking,0,0.0000,hind_paws,body,,,
commons-black-cat-walking,0,0.0000,tail_curve_anchored,tail_anchored,,,
commons-black-cat-walking,0,0.0000,tail_curve_grounded,tail_grounded,,,
commons-black-cat-walking,0,0.0000,tail_curve_grounded_v1,tail_grounded_v1,,,
commons-black-cat-walking,0,0.0000,tail_curve_grounded_v2,tail_grounded_v2,,,
commons-black-cat-walking,1,0.5000,head,body,,,
commons-black-cat-walking,1,0.5000,spine,body,,,
commons-black-cat-walking,1,0.5000,front_paws,body,,,
commons-black-cat-walking,1,0.5000,hind_paws,body,,,
commons-black-cat-walking,1,0.5000,tail_curve_anchored,tail_anchored,,,
commons-black-cat-walking,1,0.5000,tail_curve_grounded,tail_grounded,,,
commons-black-cat-walking,1,0.5000,tail_curve_grounded_v1,tail_grounded_v1,,,
commons-black-cat-walking,1,0.5000,tail_curve_grounded_v2,tail_grounded_v2,,,
commons-black-cat-walking,2,1.0000,head,body,,,
commons-black-cat-walking,2,1.0000,spine,body,,,
commons-black-cat-walking,2,1.0000,front_paws,body,,,
commons-black-cat-walking,2,1.0000,hind_paws,body,,,
commons-black-cat-walking,2,1.0000,tail_curve_anchored,tail_anchored,,,
commons-black-cat-walking,2,1.0000,tail_curve_grounded,tail_grounded,,,
commons-black-cat-walking,2,1.0000,tail_curve_grounded_v1,tail_grounded_v1,,,
commons-black-cat-walking,2,1.0000,tail_curve_grounded_v2,tail_grounded_v2,,,
commons-black-cat-walking,3,1.5000,head,body,,,
commons-black-cat-walking,3,1.5000,spine,body,,,
commons-black-cat-walking,3,1.5000,front_paws,body,,,
commons-black-cat-walking,3,1.5000,hind_paws,body,,,
commons-black-cat-walking,3,1.5000,tail_curve_anchored,tail_anchored,,,
commons-black-cat-walking,3,1.5000,tail_curve_grounded,tail_grounded,,,
commons-black-cat-walking,3,1.5000,tail_curve_grounded_v1,tail_grounded_v1,,,
commons-black-cat-walking,3,1.5000,tail_curve_grounded_v2,tail_grounded_v2,,,
commons-black-cat-walking,4,2.0000,head,body,,,
commons-black-cat-walking,4,2.0000,spine,body,,,
commons-black-cat-walking,4,2.0000,front_paws,body,,,
commons-black-cat-walking,4,2.0000,hind_paws,body,,,
commons-black-cat-walking,4,2.0000,tail_curve_anchored,tail_anchored,,,
commons-black-cat-walking,4,2.0000,tail_curve_grounded,tail_grounded,,,
commons-black-cat-walking,4,2.0000,tail_curve_grounded_v1,tail_grounded_v1,,,
commons-black-cat-walking,4,2.0000,tail_curve_grounded_v2,tail_grounded_v2,,,
commons-black-cat-walking,5,2.5000,head,body,,,
commons-black-cat-walking,5,2.5000,spine,body,,,
commons-black-cat-walking,5,2.5000,front_paws,body,,,
commons-black-cat-walking,5,2.5000,hind_paws,body,,,
commons-black-cat-walking,5,2.5000,tail_curve_anchored,tail_anchored,,,
commons-black-cat-walking,5,2.5000,tail_curve_grounded,tail_grounded,,,
commons-black-cat-walking,5,2.5000,tail_curve_grounded_v1,tail_grounded_v1,,,
commons-black-cat-walking,5,2.5000,tail_curve_grounded_v2,tail_grounded_v2,,,
commons-black-cat-walking,6,3.0000,head,body,,,
commons-black-cat-walking,6,3.0000,spine,body,,,
commons-black-cat-walking,6,3.0000,front_paws,body,,,
commons-black-cat-walking,6,3.0000,hind_paws,body,,,
commons-black-cat-walking,6,3.0000,tail_curve_anchored,tail_anchored,,,
commons-black-cat-walking,6,3.0000,tail_curve_grounded,tail_grounded,,,
commons-black-cat-walking,6,3.0000,tail_curve_grounded_v1,tail_grounded_v1,,,
commons-black-cat-walking,6,3.0000,tail_curve_grounded_v2,tail_grounded_v2,,,
commons-black-cat-walking,7,3.5000,head,body,,,
commons-black-cat-walking,7,3.5000,spine,body,,,
commons-black-cat-walking,7,3.5000,front_paws,body,,,
commons-black-cat-walking,7,3.5000,hind_paws,body,,,
commons-black-cat-walking,7,3.5000,tail_curve_anchored,tail_anchored,,,
commons-black-cat-walking,7,3.5000,tail_curve_grounded,tail_grounded,,,
commons-black-cat-walking,7,3.5000,tail_curve_grounded_v1,tail_grounded_v1,,,
commons-black-cat-walking,7,3.5000,tail_curve_grounded_v2,tail_grounded_v2,,,
commons-black-cat-walking,8,4.0000,head,body,,,
commons-black-cat-walking,8,4.0000,spine,body,,,
commons-black-cat-walking,8,4.0000,front_paws,body,,,
commons-black-cat-walking,8,4.0000,hind_paws,body,,,
commons-black-cat-walking,8,4.0000,tail_curve_anchored,tail_anchored,,,
commons-black-cat-walking,8,4.0000,tail_curve_grounded,tail_grounded,,,
commons-black-cat-walking,8,4.0000,tail_curve_grounded_v1,tail_grounded_v1,,,
commons-black-cat-walking,8,4.0000,tail_curve_grounded_v2,tail_grounded_v2,,,
commons-black-cat-walking,9,4.5000,head,body,,,
commons-black-cat-walking,9,4.5000,spine,body,,,
commons-black-cat-walking,9,4.5000,front_paws,body,,,
commons-black-cat-walking,9,4.5000,hind_paws,body,,,
commons-black-cat-walking,9,4.5000,tail_curve_anchored,tail_anchored,,,
commons-black-cat-walking,9,4.5000,tail_curve_grounded,tail_grounded,,,
commons-black-cat-walking,9,4.5000,tail_curve_grounded_v1,tail_grounded_v1,,,
commons-black-cat-walking,9,4.5000,tail_curve_grounded_v2,tail_grounded_v2,,,
commons-black-cat-walking,10,5.0000,head,body,,,
commons-black-cat-walking,10,5.0000,spine,body,,,
commons-black-cat-walking,10,5.0000,front_paws,body,,,
commons-black-cat-walking,10,5.0000,hind_paws,body,,,
commons-black-cat-walking,10,5.0000,tail_curve_anchored,tail_anchored,,,
commons-black-cat-walking,10,5.0000,tail_curve_grounded,tail_grounded,,,
commons-black-cat-walking,10,5.0000,tail_curve_grounded_v1,tail_grounded_v1,,,
