clip_id,frame_index,method,output_status,wrong_part,box_quality,instance,note
holdout-boxing-cats-1894,0,tail_grounded_v1,no_output,,,,no_cat
holdout-boxing-cats-1894,1,tail_grounded_v1,no_output,,,,no_cat
holdout-boxing-cats-1894,2,tail_grounded_v1,no_output,,,,no_cat
holdout-boxing-cats-1894,3,tail_grounded_v1,no_output,,,,no_cat
holdout-boxing-cats-1894,4,tail_grounded_v1,no_output,,,,no_cat
holdout-boxing-cats-1894,5,tail_grounded_v1,no_output,,,,no_tail_box
holdout-boxing-cats-1894,6,tail_grounded_v1,no_output,,,,no_cat
holdout-boxing-cats-1894,7,tail_grounded_v1,no_output,,,,no_tail_box
holdout-boxing-cats-1894,8,tail_grounded_v1,no_output,,,,no_tail_box
holdout-boxing-cats-1894,9,tail_grounded_v1,no_output,,,,no_tail_box
holdout-boxing-cats-1894,10,tail_grounded_v1,no_output,,,,no_tail_box
holdout-boxing-cats-1894,11,tail_grounded_v1,no_output,,,,no_tail_box
holdout-boxing-cats-1894,12,tail_grounded_v1,no_output,,,,temporal_none
holdout-boxing-cats-1894,13,tail_grounded_v1,no_output,,,,no_tail_box
holdout-boxing-cats-1894,14,tail_grounded_v1,no_output,,,,no_tail_box
holdout-boxing-cats-1894,15,tail_grounded_v1,no_output,,,,temporal_none
holdout-boxing-cats-1894,16,tail_grounded_v1,no_output,,,,no_tail_box
holdout-boxing-cats-1894,17,tail_grounded_v1,no_output,,,,no_tail_box
holdout-boxing-cats-1894,18,tail_grounded_v1,no_output,,,,no_cat
holdout-boxing-cats-1894,19,tail_grounded_v1,no_output,,,,no_cat
holdout-boxing-cats-1894,20,tail_grounded_v1,no_output,,,,no_cat
holdout-boxing-cats-1894,21,tail_grounded_v1,no_output,,,,no_cat
holdout-boxing-cats-1894,22,tail_grounded_v1,no_output,,,,no_cat
holdout-boxing-cats-1894,23,tail_grounded_v1,no_output,,,,no_cat
holdout-boxing-cats-1894,24,tail_grounded_v1,no_output,,,,no_tail_box
holdout-boxing-cats-1894,25,tail_grounded_v1,no_output,,,,no_tail_box
holdout-boxing-cats-1894,26,tail_grounded_v1,no_output,,,,no_tail_box
holdout-boxing-cats-1894,27,tail_grounded_v1,no_output,,,,no_cat
holdout-boxing-cats-1894,28,tail_grounded_v1,no_output,,,,no_cat
holdout-boxing-cats-1894,29,tail_grounded_v1,no_output,,,,no_cat
holdout-boxing-cats-1894,30,tail_grounded_v1,no_output,,,,temporal_none
holdout-boxing-cats-1894,31,tail_grounded_v1,no_output,,,,no_tail_box
holdout-boxing-cats-1894,32,tail_grounded_v1,no_output,,,,no_cat
holdout-boxing-cats-1894,33,tail_grounded_v1,no_output,,,,no_tail_box
holdout-boxing-cats-1894,34,tail_grounded_v1,no_output,,,,no_tail_box
holdout-boxing-cats-1894,35,tail_grounded_v1,no_output,,,,no_tail_box
holdout-boxing-cats-1894,36,tail_grounded_v1,no_output,,,,no_cat
holdout-boxing-cats-1894,37,tail_grounded_v1,no_output,,,,no_tail_box
holdout-boxing-cats-1894,38,tail_grounded_v1,no_output,,,,no_tail_box
holdout-boxing-cats-1894,39,tail_grounded_v1,no_output,,,,no_tail_box
holdout-cat-playing-taiwan,0,tail_grounded_v1,no_output,,,,no_tail_box
holdout-cat-playing-taiwan,1,tail_grounded_v1,no_output,,,,temporal_none
holdout-cat-playing-taiwan,2,tail_grounded_v1,no_output,,,,temporal_none
holdout-cat-playing-taiwan,3,tail_grounded_v1,no_output,,,,temporal_none
holdout-cat-playing-taiwan,4,tail_grounded_v1,no_output,,,,temporal_none
holdout-cat-playing-taiwan,5,tail_grounded_v1,no_output,,,,temporal_none
holdout-cat-playing-taiwan,6,tail_grounded_v1,no_output,,,,temporal_none
holdout-cat-playing-taiwan,7,tail_grounded_v1,no_output,,,,temporal_none
holdout-cat-playing-taiwan,8,tail_grounded_v1,no_output,,,,temporal_none
holdout-cat-playing-taiwan,9,tail_grounded_v1,no_output,,,,temporal_none
holdout-cat-playing-taiwan,10,tail_grounded_v1,no_output,,,,temporal_none
holdout-cat-playing-taiwan,11,tail_grounded_v1,no_output,,,,temporal_none
holdout-cat-playing-taiwan,12,tail_grounded_v1,no_output,,,,temporal_none
holdout-cat-playing-taiwan,13,tail_grounded_v1,no_output,,,,temporal_none
holdout-cat-playing-taiwan,14,tail_grounded_v1,no_output,,,,temporal_none
holdout-cat-playing-taiwan,15,tail_grounded_v1,no_output,,,,temporal_none
holdout-cat-playing-taiwan,16,tail_grounded_v1,no_output,,,,temporal_none
holdout-cat-playing-taiwan,17,tail_grounded_v1,no_output,,,,temporal_none
holdout-cat-playing-taiwan,18,tail_grounded_v1,no_output,,,,temporal_none
holdout-cat-playing-taiwan,19,tail_grounded_v1,no_output,,,,temporal_none
holdout-cat-playing-taiwan,20,tail_grounded_v1,no_output,,,,no_tail_box
holdout-cat-playing-taiwan,21,tail_grounded_v1,no_output,,,,temporal_none
holdout-cat-playing-taiwan,22,tail_grounded_v1,no_output,,,,no_tail_box
holdout-cat-playing-taiwan,23,tail_grounded_v1,wrong_part,torso,unusable,,override: detector labels the orange rump patch a tail (checked on overlays 2026-09-20 after the holdout truth was frozen)
holdout-cat-playing-taiwan,24,tail_grounded_v1,wrong_part,torso,unusable,,override: detector labels the orange rump patch a tail (checked on overlays 2026-09-20 after the holdout truth was frozen)
holdout-cat-playing-taiwan,25,tail_grounded_v1,wrong_part,torso,unusable,,override: detector labels the orange rump patch a tail (checked on overlays 2026-09-20 after the holdout truth was frozen)
holdout-cat-playing-taiwan,26,tail_grounded_v1,wrong_part,torso,unusable,,override: detector labels the orange rump patch a tail (checked on overlays 2026-09-20 after the holdout truth was frozen)
