clip_id,frame_index,method,output_status,wrong_part,box_quality,instance,note
commons-black-cat-walking,0,tail_grounded_v1,wrong_part,torso,unusable,,override: tail hidden behind the frontal body; box on the back
commons-black-cat-walking,1,tail_grounded_v1,correct,,usable,target,
commons-black-cat-walking,2,tail_grounded_v1,correct,,usable,target,
commons-black-cat-walking,3,tail_grounded_v1,correct,,usable,target,
commons-black-cat-walking,4,tail_grounded_v1,correct,,usable,target,
commons-black-cat-walking,5,tail_grounded_v1,correct,,usable,target,
commons-black-cat-walking,6,tail_grounded_v1,correct,,usable,target,
commons-black-cat-walking,7,tail_grounded_v1,correct,,usable,target,
commons-black-cat-walking,8,tail_grounded_v1,correct,,usable,target,
commons-black-cat-walking,9,tail_grounded_v1,correct,,usable,target,
commons-black-cat-walking,10,tail_grounded_v1,correct,,usable,target,
commons-black-cat-walking,11,tail_grounded_v1,correct,,usable,target,
commons-black-cat-walking,12,tail_grounded_v1,correct,,usable,target,
commons-black-cat-walking,13,tail_grounded_v1,correct,,usable,target,
commons-black-cat-walking,14,tail_grounded_v1,correct,,usable,target,
commons-black-cat-walking,15,tail_grounded_v1,correct,,usable,target,
commons-black-cat-walking,16,tail_grounded_v1,correct,,usable,target,
commons-black-cat-walking,17,tail_grounded_v1,correct,,usable,target,
commons-black-cat-walking,18,tail_grounded_v1,correct,,usable,target,
commons-black-cat-walking,19,tail_grounded_v1,correct,,usable,target,
commons-black-cat-walking,20,tail_grounded_v1,correct,,usable,target,
commons-black-cat-walking,21,tail_grounded_v1,correct,,usable,target,
commons-black-cat-walking,22,tail_grounded_v1,correct,,usable,target,
commons-black-cat-walking,23,tail_grounded_v1,correct,,usable,target,
commons-black-cat-walking,24,tail_grounded_v1,correct,,usable,target,
commons-black-cat-walking,25,tail_grounded_v1,correct,,usable,target,
commons-black-cat-walking,26,tail_grounded_v1,correct,,usable,target,
commons-black-cat-walking,27,tail_grounded_v1,correct,,usable,target,
commons-black-cat-walking,28,tail_grounded_v1,correct,,usable,target,
commons-black-cat-walking,29,tail_grounded_v1,correct,,usable,target,
commons-black-cat-walking,30,tail_grounded_v1,correct,,usable,target,
commons-black-cat-walking,31,tail_grounded_v1,no_output,,,,temporal_none
commons-black-cat-walking,32,tail_grounded_v1,no_output,,,,temporal_none
